fold,model,split,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,ef1,ef5
3,MLP,train,0.9973614775725593,0.9963898916967509,1.0,0.9981916817359855,0.9933358965767071,1.0,1.0,1.3731884057971013,1.3731884057971013
4,LR,val,0.8714285714285714,1.0,0.7857142857142857,0.88,0.7710996009560598,0.9804421768707483,0.9873576542488143,1.6666666666666667,1.6666666666666667
4,LR,train,0.9392405063291139,0.968421052631579,0.9484536082474226,0.9583333333333334,0.8468547041924388,0.9864690721649484,0.9954716378767302,1.3573883161512026,1.3573883161512026
4,RFC,val,0.9285714285714286,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.857105110306222,0.9893707482993198,0.992907476864453,1.6666666666666667,1.6666666666666667
4,RFC,train,0.9974683544303797,1.0,0.9965635738831615,0.9982788296041308,0.9935152199272699,0.9999834787205921,0.9999882314174081,1.3573883161512026,1.3573883161512026
4,SVC,val,0.9571428571428572,0.975609756097561,0.9523809523809523,0.963855421686747,0.9116416797650452,0.9923469387755102,0.995183694034933,1.6666666666666667,1.6666666666666667
4,SVC,train,0.9443037974683545,0.9528619528619529,0.9725085910652921,0.9625850340136054,0.8543986842002627,0.9911941580756014,0.9971022808094012,1.3573883161512026,1.3573883161512026
4,XGBC,val,0.9428571428571428,0.975,0.9285714285714286,0.9512195121951219,0.8838834764831843,0.991921768707483,0.9943391867307764,1.6666666666666667,1.6666666666666667
4,XGBC,train,0.9949367088607595,1.0,0.993127147766323,0.996551724137931,0.9871113917361406,0.9999173936029605,0.9999647341419814,1.3573883161512026,1.3573883161512026
4,ETC,val,0.9285714285714286,1.0,0.8809523809523809,0.9367088607594937,0.864566219253764,0.9893707482993197,0.9930609073466217,1.6666666666666667,1.6666666666666667
4,ETC,train,0.9670886075949368,0.9727891156462585,0.9828178694158075,0.9777777777777777,0.9145481491979952,0.9962496695744117,0.998739963103785,1.3573883161512026,1.3573883161512026
4,MLP,val,0.9285714285714286,1.0,0.8809523809523809,0.9367088607594937,0.864566219253764,0.9906462585034013,0.9941146703684698,1.6666666666666667,1.6666666666666667
4,MLP,train,0.9974683544303797,1.0,0.9965635738831615,0.9982788296041308,0.9935152199272699,1.0,1.0,1.3573883161512026,1.3573883161512026
5,LR,val,0.8372093023255814,0.8048780487804879,0.8461538461538461,0.825,0.6737393118703504,0.9187124931805783,0.920860248094248,2.2051282051282053,2.2051282051282053
5,LR,train,0.9762532981530343,0.9765886287625418,0.9931972789115646,0.984822934232715,0.9309936167135968,0.9985194077631052,0.9995766497723555,1.2891156462585034,1.2891156462585034
5,RFC,val,0.8488372093023255,0.8421052631578947,0.8205128205128205,0.8311688311688312,0.6945604845575218,0.8996181123840699,0.9218935131297555,2.2051282051282053,2.2051282051282053
5,RFC,train,0.9973614775725593,1.0,0.9965986394557823,0.9982964224872232,0.9924768426432129,0.9999799919967988,0.9999884699642569,1.2891156462585034,1.2891156462585034
5,SVC,val,0.8488372093023255,0.825,0.8461538461538461,0.8354430379746836,0.6958901829017825,0.8788870703764321,0.8977878585636102,2.2051282051282053,2.2051282051282053
5,SVC,train,0.9630606860158312,0.9635761589403974,0.9897959183673469,0.9765100671140939,0.8919216319083385,0.9965386154461785,0.9990253013773308,1.2891156462585034,1.2891156462585034
5,XGBC,val,0.8604651162790697,0.8648648648648649,0.8205128205128205,0.8421052631578947,0.7180579783611567,0.9105291871249318,0.9198665547874594,2.2051282051282053,2.2051282051282053
5,XGBC,train,0.9973614775725593,1.0,0.9965986394557823,0.9982964224872232,0.9924768426432129,0.9999799919967987,0.9999884699642569,1.2891156462585034,1.2891156462585034
5,ETC,val,0.8255813953488372,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.6520021534362686,0.8968903436988543,0.9213502100392928,2.2051282051282053,2.2051282051282053
5,ETC,train,0.9709762532981531,0.9732441471571907,0.9897959183673469,0.9814502529510961,0.9154920535497951,0.9972789115646259,0.9992241987653988,1.2891156462585034,1.2891156462585034
5,MLP,val,0.8488372093023255,0.8421052631578947,0.8205128205128205,0.8311688311688312,0.6945604845575218,0.9154391707583197,0.919881222367577,2.2051282051282053,2.2051282051282053
5,MLP,train,0.9947229551451188,1.0,0.9931972789115646,0.9965870307167235,0.9850711433989302,0.9999399759903962,0.9999769007107051,1.2891156462585034,1.2891156462585034
