feature_name,importance,feature_type
fp_1114,0.0031285236417188567,fp
fp_1032,0.003037193817284238,fp
fp_1832,0.0029624686646818497,fp
fp_194,0.0029191161655456876,fp
fp_247,0.0028698657204691076,fp
fp_708,0.002788613226876303,fp
fp_1634,0.0027735464843153795,fp
fp_1145,0.002768953125768065,fp
fp_1097,0.0027428252119452573,fp
fp_13,0.002713265081529651,fp
fp_1866,0.0025854916439536036,fp
fp_724,0.0024952099756351204,fp
fp_739,0.0024255324844034087,fp
fp_2009,0.0024006977613876654,fp
fp_29,0.002357302097122797,fp
fp_591,0.0022933796767311025,fp
fp_656,0.0022026614593047447,fp
fp_1530,0.002187008685719087,fp
fp_1855,0.002088242666679694,fp
fp_1998,0.0020874864617148776,fp
fp_1476,0.0020540473232518036,fp
fp_875,0.002045200309932644,fp
fp_695,0.002043127526083318,fp
fp_1970,0.0019423630976131197,fp
fp_1737,0.001905397848991984,fp
fp_1157,0.0017872977655387656,fp
fp_1050,0.0017851963121087503,fp
fp_1057,0.0016529872752985076,fp
fp_1573,0.0015199803012346353,fp
fp_1422,0.0014988693388691713,fp
fp_310,0.0014880914555073193,fp
fp_1164,0.0014869134640336512,fp
fp_1747,0.0014563052502165675,fp
fp_841,0.001423584188274664,fp
fp_1648,0.001406612808098277,fp
fp_933,0.0013891536159605306,fp
fp_718,0.001092304566251442,fp
fp_114,0.0010524920501694553,fp
fp_1539,0.0010428651921841204,fp
fp_34,0.001023434303046371,fp
fp_1750,0.0009698830796877121,fp
fp_361,0.0009004214233746656,fp
fp_94,0.0008973152754036332,fp
fp_322,0.0008784261331728844,fp
fp_710,0.0008718645616764948,fp
fp_667,0.0008558160439410162,fp
fp_1409,0.0008039868875729982,fp
fp_1107,0.0007766314729729655,fp
fp_1862,0.0007525905332178062,fp
fp_227,0.0007360126224485396,fp
fp_1487,0.0007110375387812004,fp
fp_1236,0.0006918775602399916,fp
fp_1453,0.0005711348631359172,fp
fp_1296,0.0005251653755025282,fp
fp_118,0.00040906565874822477,fp
fp_1084,0.00035710999286105193,fp
fp_1405,0.00027564425001672376,fp
fp_1524,0.0002723175324213544,fp
fp_1670,0.00020986423802627237,fp
fp_90,0.0001996703931473362,fp
fp_1640,0.00014908729738268868,fp
fp_1602,0.00010439593855622313,fp
fp_1945,4.807381339037215e-05,fp
fp_1410,9.715932502528714e-06,fp
fp_111,0.0,fp
